question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
What are the advantages of ensemble methods? (Sample 136),Hard,Machine Learning,2024-08-24,,,,,,What are the advantages of ensemble methods? (Sample 136),Machine Learning,Hard,hard,What are the advantages of ensemble methods? (Sample 136)
How does a neural network work? (Sample 137),Hard,Deep Learning,2024-08-26,,,,,,How does a neural network work? (Sample 137),Deep Learning,Hard,hard,How does a neural network work? (Sample 137)
What is regularization and why is it important? (Sample 138),Medium,Machine Learning,2025-06-14,,,,,,What is regularization and why is it important? (Sample 138),Machine Learning,Medium,medium,What is regularization and why is it important? (Sample 138)
What is the bias-variance tradeoff? (Sample 139),Easy,Machine Learning,2024-10-02,,,,,,What is the bias-variance tradeoff? (Sample 139),Machine Learning,Easy,easy,What is the bias-variance tradeoff? (Sample 139)
What is the difference between bagging and boosting? (Sample 140),Medium,Machine Learning,2024-08-04,,,,,,What is the difference between bagging and boosting? (Sample 140),Machine Learning,Medium,medium,What is the difference between bagging and boosting? (Sample 140)
What is your favorite machine learning algorithm and why? (Sample 141),Easy,Machine Learning,2025-07-11,,,,,,What is your favorite machine learning algorithm and why? (Sample 141),Machine Learning,Easy,easy,What is your favorite machine learning algorithm and why? (Sample 141)
What is the role of activation functions in deep learning? (Sample 142),Medium,Deep Learning,2025-06-10,,,,,,What is the role of activation functions in deep learning? (Sample 142),Deep Learning,Medium,medium,What is the role of activation functions in deep learning? (Sample 142)
How would you optimize a machine learning model? (Sample 143),Hard,Machine Learning,2024-12-15,,,,,,How would you optimize a machine learning model? (Sample 143),Machine Learning,Hard,hard,How would you optimize a machine learning model? (Sample 143)
Describe a challenging machine learning project you have worked on. (Sample 144),Hard,Machine Learning,2025-03-27,,,,,,Describe a challenging machine learning project you have worked on. (Sample 144),Machine Learning,Hard,hard,Describe a challenging machine learning project you have worked on. (Sample 144)
How does a neural network work? (Sample 145),Easy,Deep Learning,2025-07-04,,,,,,How does a neural network work? (Sample 145),Deep Learning,Easy,easy,How does a neural network work? (Sample 145)
What is the difference between bagging and boosting? (Sample 146),Medium,Machine Learning,2024-10-05,,,,,,What is the difference between bagging and boosting? (Sample 146),Machine Learning,Medium,medium,What is the difference between bagging and boosting? (Sample 146)
What is the role of activation functions in deep learning? (Sample 147),Easy,Deep Learning,2024-12-04,,,,,,What is the role of activation functions in deep learning? (Sample 147),Deep Learning,Easy,easy,What is the role of activation functions in deep learning? (Sample 147)
How would you explain the concept of overfitting? (Sample 148),Medium,Machine Learning,2025-06-23,,,,,,How would you explain the concept of overfitting? (Sample 148),Machine Learning,Medium,medium,How would you explain the concept of overfitting? (Sample 148)
What are the advantages of ensemble methods? (Sample 149),Easy,Machine Learning,2024-12-26,,,,,,What are the advantages of ensemble methods? (Sample 149),Machine Learning,Easy,easy,What are the advantages of ensemble methods? (Sample 149)
What is the role of activation functions in deep learning? (Sample 150),Easy,Deep Learning,2024-12-18,,,,,,What is the role of activation functions in deep learning? (Sample 150),Deep Learning,Easy,easy,What is the role of activation functions in deep learning? (Sample 150)
What is regularization and why is it important? (Sample 151),Easy,Machine Learning,2024-11-07,,,,,,What is regularization and why is it important? (Sample 151),Machine Learning,Easy,easy,What is regularization and why is it important? (Sample 151)
What metrics would you use to evaluate a regression model? (Sample 152),Hard,Machine Learning,2025-06-28,,,,,,What metrics would you use to evaluate a regression model? (Sample 152),Machine Learning,Hard,hard,What metrics would you use to evaluate a regression model? (Sample 152)
Describe the process of backpropagation. (Sample 153),Medium,Deep Learning,2024-12-14,,,,,,Describe the process of backpropagation. (Sample 153),Deep Learning,Medium,medium,Describe the process of backpropagation. (Sample 153)
Describe the process of feature selection. (Sample 154),Easy,Machine Learning,2024-09-25,,,,,,Describe the process of feature selection. (Sample 154),Machine Learning,Easy,easy,Describe the process of feature selection. (Sample 154)
What is your favorite machine learning algorithm and why? (Sample 155),Easy,Machine Learning,2025-07-05,,,,,,What is your favorite machine learning algorithm and why? (Sample 155),Machine Learning,Easy,easy,What is your favorite machine learning algorithm and why? (Sample 155)
How would you explain the concept of overfitting? (Sample 156),Easy,Machine Learning,2025-02-25,,,,,,How would you explain the concept of overfitting? (Sample 156),Machine Learning,Easy,easy,How would you explain the concept of overfitting? (Sample 156)
Can you explain the concept of gradient descent? (Sample 157),Easy,Machine Learning,2025-03-19,,,,,,Can you explain the concept of gradient descent? (Sample 157),Machine Learning,Easy,easy,Can you explain the concept of gradient descent? (Sample 157)
How would you optimize a machine learning model? (Sample 158),Easy,Machine Learning,2025-03-16,,,,,,How would you optimize a machine learning model? (Sample 158),Machine Learning,Easy,easy,How would you optimize a machine learning model? (Sample 158)
Describe a challenging machine learning project you have worked on. (Sample 159),Easy,Machine Learning,2024-11-29,,,,,,Describe a challenging machine learning project you have worked on. (Sample 159),Machine Learning,Easy,easy,Describe a challenging machine learning project you have worked on. (Sample 159)
How does a neural network work? (Sample 160),Easy,Deep Learning,2025-05-19,,,,,,How does a neural network work? (Sample 160),Deep Learning,Easy,easy,How does a neural network work? (Sample 160)
What is regularization and why is it important? (Sample 161),Medium,Machine Learning,2024-10-18,,,,,,What is regularization and why is it important? (Sample 161),Machine Learning,Medium,medium,What is regularization and why is it important? (Sample 161)
What are the key differences between classification and regression? (Sample 162),Easy,Machine Learning,2025-01-11,,,,,,What are the key differences between classification and regression? (Sample 162),Machine Learning,Easy,easy,What are the key differences between classification and regression? (Sample 162)
Describe a challenging machine learning project you have worked on. (Sample 163),Medium,Machine Learning,2025-01-17,,,,,,Describe a challenging machine learning project you have worked on. (Sample 163),Machine Learning,Medium,medium,Describe a challenging machine learning project you have worked on. (Sample 163)
Explain the difference between L1 and L2 regularization. (Sample 164),Easy,Machine Learning,2024-10-18,,,,,,Explain the difference between L1 and L2 regularization. (Sample 164),Machine Learning,Easy,easy,Explain the difference between L1 and L2 regularization. (Sample 164)
Can you explain the concept of gradient descent? (Sample 165),Medium,Machine Learning,2024-10-09,,,,,,Can you explain the concept of gradient descent? (Sample 165),Machine Learning,Medium,medium,Can you explain the concept of gradient descent? (Sample 165)
What metrics would you use to evaluate a regression model? (Sample 166),Hard,Machine Learning,2024-11-05,,,,,,What metrics would you use to evaluate a regression model? (Sample 166),Machine Learning,Hard,hard,What metrics would you use to evaluate a regression model? (Sample 166)
How do you handle missing values in a dataset? (Sample 167),Easy,Data Science,2025-03-04,,,,,,How do you handle missing values in a dataset? (Sample 167),Data Science,Easy,easy,How do you handle missing values in a dataset? (Sample 167)
What is principal component analysis (PCA)? (Sample 168),Hard,Data Science,2025-07-06,,,,,,What is principal component analysis (PCA)? (Sample 168),Data Science,Hard,hard,What is principal component analysis (PCA)? (Sample 168)
Explain the difference between L1 and L2 regularization. (Sample 169),Medium,Machine Learning,2025-04-23,,,,,,Explain the difference between L1 and L2 regularization. (Sample 169),Machine Learning,Medium,medium,Explain the difference between L1 and L2 regularization. (Sample 169)
How does a neural network work? (Sample 170),Easy,Deep Learning,2024-11-12,,,,,,How does a neural network work? (Sample 170),Deep Learning,Easy,easy,How does a neural network work? (Sample 170)
What is principal component analysis (PCA)? (Sample 171),Medium,Data Science,2024-11-05,,,,,,What is principal component analysis (PCA)? (Sample 171),Data Science,Medium,medium,What is principal component analysis (PCA)? (Sample 171)
Describe the process of backpropagation. (Sample 172),Easy,Deep Learning,2025-05-31,,,,,,Describe the process of backpropagation. (Sample 172),Deep Learning,Easy,easy,Describe the process of backpropagation. (Sample 172)
What is regularization and why is it important? (Sample 173),Hard,Machine Learning,2025-03-02,,,,,,What is regularization and why is it important? (Sample 173),Machine Learning,Hard,hard,What is regularization and why is it important? (Sample 173)
Describe the process of backpropagation. (Sample 174),Medium,Deep Learning,2024-08-15,,,,,,Describe the process of backpropagation. (Sample 174),Deep Learning,Medium,medium,Describe the process of backpropagation. (Sample 174)
What is your favorite machine learning algorithm and why? (Sample 175),Medium,Machine Learning,2025-07-12,,,,,,What is your favorite machine learning algorithm and why? (Sample 175),Machine Learning,Medium,medium,What is your favorite machine learning algorithm and why? (Sample 175)
